ID;Superkingdom;Kingdom;Subkingdom;Infrakingdom;Superphylum;Phylum;Subphylum;Infraphylum;Parvphylum;Superclass;Class;Subclass;Infraclass;Superorder;Order;Family;BHL;BOLD;EOL;GBIF;NCBI;GGBN;BHL_Percentile;BOLD_Percentile;EOL_Percentile;GBIF_Percentile;NCBI_Percentile;GGBN_Percentile;GGI score;Reference
Thermoplasmatales-Ferroplasmaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermoplasmata;;;;Thermoplasmatales;Ferroplasmaceae;0;0;0;0;1260;0;0;0;0;0;87;0;15;"NCBI, 2013; Garrity et al., 2007"
Thermoplasmatales-Picrophilaceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermoplasmata;;;;Thermoplasmatales;Picrophilaceae;0;0;0;0;341;0;0;0;0;0;78;0;13;"NCBI, 2013; Garrity et al., 2007"
Thermoplasmatales-Thermoplasmataceae;Prokaryota;Archaea;;;;Euryarchaeota;;;;;Thermoplasmata;;;;Thermoplasmatales;Thermoplasmataceae;0;0;0;0;585;0;0;0;0;0;82;0;14;"NCBI, 2013; Garrity et al., 2007"
Acidobacteriales-Acidobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Acidobacteria;;;;;Acidobacteria;;;;Acidobacteriales;Acidobacteriaceae;0;0;0;0;3890;0;0;0;0;0;91;0;16;NCBI, 2013
Acanthopleuribacterales-Acanthopleuribacteraceae;Prokaryota;Bacteria;Negibacteria;;;Acidobacteria;;;;;Holophagae;;;;Acanthopleuribacterales;Acanthopleuribacteraceae;0;0;0;0;4;0;0;0;0;0;34;0;6;NCBI, 2013
Holophagales-Holophagaceae;Prokaryota;Bacteria;Negibacteria;;;Acidobacteria;;;;;Holophagae;;;;Holophagales;Holophagaceae;0;0;0;0;386;0;0;0;0;0;79;0;14;NCBI, 2013
Aquificales-Aquificaceae;Prokaryota;Bacteria;Negibacteria;;;Aquificae;;;;;Aquificae;;;;Aquificales;Aquificaceae;0;0;0;0;2726;0;0;0;0;0;90;0;15;"NCBI, 2013; Garrity et al., 2007"
Aquificales-Desulfurobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Aquificae;;;;;Aquificae;;;;Aquificales;Desulfurobacteriaceae;0;0;0;0;113;0;0;0;0;0;68;0;12;NCBI, 2013
Aquificales-Hydrogenothermaceae;Prokaryota;Bacteria;Negibacteria;;;Aquificae;;;;;Aquificae;;;;Aquificales;Hydrogenothermaceae;0;0;0;0;1832;0;0;0;0;0;89;0;15;NCBI, 2013
Armatimonadales-Armatimonadaceae;Prokaryota;Bacteria;Negibacteria;;;Armatimonadetes;;;;;Armatimonadia;;;;Armatimonadales;Armatimonadaceae;0;0;0;0;2;0;0;0;0;0;30;0;5;NCBI, 2013
Chthonomonadales-Chthonomonadaceae;Prokaryota;Bacteria;Negibacteria;;;Armatimonadetes;;;;;Chthonomonadetes;;;;Chthonomonadales;Chthonomonadaceae;0;0;0;0;7;0;0;0;0;0;39;0;7;NCBI, 2013
Fimbriimonadales-Fimbriimonadaceae;Prokaryota;Bacteria;Negibacteria;;;Armatimonadetes;;;;;Fimbriimonadia;;;;Fimbriimonadales;Fimbriimonadaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;Im et al., 2012
Bacteroidales-Bacteroidaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Bacteroidia;;;;Bacteroidales;Bacteroidaceae;0;0;1;0;84778;0;0;0;59;0;97;0;26;"NCBI, 2013; Garrity et al., 2007"
Bacteroidales-Marinilabiaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Bacteroidia;;;;Bacteroidales;Marinilabiaceae;0;0;0;0;2000;0;0;0;0;0;89;0;15;NCBI, 2013
Bacteroidales-Porphyromonadaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Bacteroidia;;;;Bacteroidales;Porphyromonadaceae;0;0;0;0;41308;0;0;0;0;0;96;0;16;"NCBI, 2013; Garrity et al., 2007"
Bacteroidales-Prevotellaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Bacteroidia;;;;Bacteroidales;Prevotellaceae;0;0;0;0;43217;0;0;0;0;0;96;0;16;"NCBI, 2013; Garrity et al., 2007"
Bacteroidales-Rikenellaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Bacteroidia;;;;Bacteroidales;Rikenellaceae;0;0;0;0;5993;0;0;0;0;0;92;0;16;"NCBI, 2013; Garrity et al., 2007"
Cytophagales-Catalimonadaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Cytophagia;;;;Cytophagales;Catalimonadaceae;0;0;0;0;4;0;0;0;0;0;34;0;6;Choi et al., 2013
Cytophagales-Cyclobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Cytophagia;;;;Cytophagales;Cyclobacteriaceae;0;0;0;0;2736;0;0;0;0;0;90;0;15;NCBI, 2013
Cytophagales-Cytophagaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Cytophagia;;;;Cytophagales;Cytophagaceae;0;0;0;0;9391;0;0;0;0;0;93;0;16;NCBI, 2013
Cytophagales-Flammeovirgaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Cytophagia;;;;Cytophagales;Flammeovirgaceae;0;0;0;0;2315;0;0;0;0;0;90;0;15;"NCBI, 2013; Garrity et al., 2007"
Cytophagales-Mooreiaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Cytophagia;;;;Cytophagales;Mooreiaceae;0;0;0;0;4;0;0;0;0;0;34;0;6;Choi et al., 2013
Cytophagales-Rhodothermaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Cytophagia;;;;Cytophagales;Rhodothermaceae;0;0;0;0;1292;0;0;0;0;0;87;0;15;Euzéby & Whitman, 2011
Flavobacteriales-Blattabacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Flavobacteria;;;;Flavobacteriales;Blattabacteriaceae;0;0;0;0;237;0;0;0;0;0;75;0;13;"NCBI, 2013; Garrity et al., 2007"
Flavobacteriales-Cryomorphaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Flavobacteria;;;;Flavobacteriales;Cryomorphaceae;0;0;0;0;620;0;0;0;0;0;83;0;14;"NCBI, 2013; Garrity et al., 2007"
Flavobacteriales-Flavobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Flavobacteria;;;;Flavobacteriales;Flavobacteriaceae;0;0;0;0;58969;0;0;0;0;0;96;0;16;"NCBI, 2013; Garrity et al., 2007"
Flavobacteriales-Schleiferiaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Flavobacteria;;;;Flavobacteriales;Schleiferiaceae;0;0;0;0;75;0;0;0;0;0;64;0;11;NCBI, 2013
Sphingobacteriales-Chitinophagaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Sphingobacteriia;;;;Sphingobacteriales;Chitinophagaceae;0;0;0;0;3737;0;0;0;0;0;91;0;16;NCBI, 2013
Sphingobacteriales-Saprospiraceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Sphingobacteriia;;;;Sphingobacteriales;Saprospiraceae;0;0;0;0;1864;0;0;0;0;0;89;0;15;"NCBI, 2013; Garrity et al., 2007"
Sphingobacteriales-Sphingobacteriaceae;Prokaryota;Bacteria;Negibacteria;;;Bacteroidetes;;;;;Sphingobacteriia;;;;Sphingobacteriales;Sphingobacteriaceae;0;0;0;0;10038;0;0;0;0;0;93;0;16;"NCBI, 2013; Garrity et al., 2007"
